2018-08-02 16:31:34.330 ERROR: 登录失败
2018-08-02 16:31:47.282 INFO: ===============================================
2018-08-02 16:32:01.559 INFO: 保存成功！
2018-08-02 16:32:08.498 INFO: 区域代理新增成功，查询详情也正常
2018-08-02 16:32:32.465 INFO: ===============================================
2018-08-02 16:32:43.841 INFO: 保存成功！
2018-08-02 16:32:49.244 INFO: 企业新增成功，查询详情也正常
2018-08-02 16:32:58.881 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 16:32:58.882 INFO: ===============================================
2018-08-02 16:33:01.936 WARNING: 没有找到元素：车辆管理
2018-08-02 16:33:01.960 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 16:33:02.015 WARNING: 没有找到元素：出租车
2018-08-02 16:33:02.040 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 16:33:08.402 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 16:33:08.402 INFO: ===============================================
2018-08-02 16:33:11.446 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 16:33:14.501 WARNING: 没有找到元素：司机管理
2018-08-02 16:33:14.527 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 16:33:14.564 WARNING: 没有找到元素：出租车
2018-08-02 16:33:14.590 WARNING: 没有找到该元素或者该元素不能被点击
