2018-08-02 13:57:11.244 ERROR: 登录失败
2018-08-02 13:57:22.971 INFO: ===============================================
2018-08-02 13:57:36.933 INFO: 保存成功！
2018-08-02 13:57:43.863 INFO: 区域代理新增成功，查询详情也正常
2018-08-02 13:58:03.457 INFO: 关闭业务操作成功
2018-08-02 13:58:23.465 INFO: 出租车业务下的城市编辑成功
2018-08-02 13:58:32.886 INFO: 抽成编辑成功
2018-08-02 13:58:52.550 INFO: 专车业务下的城市新增成功
2018-08-02 13:59:04.939 INFO: 抽成编辑成功
2018-08-02 13:59:24.632 INFO: 快车业务下的城市新增成功
2018-08-02 13:59:37.000 INFO: 抽成编辑成功
2018-08-02 13:59:40.121 INFO: ===============================================
2018-08-02 13:59:51.383 INFO: 保存成功！
2018-08-02 13:59:56.519 INFO: 企业新增成功，查询详情也正常
2018-08-02 14:00:16.120 INFO: 关闭业务操作成功
2018-08-02 14:00:36.155 INFO: 出租车业务下的城市编辑成功
2018-08-02 14:00:45.597 INFO: 抽成编辑成功
2018-08-02 14:01:05.351 INFO: 专车业务下的城市新增成功
2018-08-02 14:01:17.770 INFO: 抽成编辑成功
2018-08-02 14:01:37.503 INFO: 快车业务下的城市新增成功
2018-08-02 14:01:49.896 INFO: 抽成编辑成功
2018-08-02 14:01:53.014 INFO: ===============================================
2018-08-02 14:02:18.075 WARNING: 没有找到元素：出租车
2018-08-02 14:02:18.083 WARNING: 没有找到该元素或者该元素不能被点击
2018-08-02 14:02:21.118 WARNING: 没有找到元素：mix
2018-08-02 14:02:21.128 WARNING: 没有找到该元素或者该元素无法输入
2018-08-02 14:02:28.050 INFO: ===============================================
